0,1.819e+08,9.8363e+08,-1.5878e+07,-11.247,7.5488,0.26872,-5.6758e+10,-2.7359e+10,2.8917e+09,11650,-41479,-4459.5,4.2848e+10,1.0007e+11,-1.1187e+09,-32293,13696,2050.9,-1.4378e+11,-4.0007e+10,-1.3888e+07,7651.5,-28751,2.0835,-1.1475e+11,-1.9629e+11,-1.3291e+09,21837,-10113,-747.96,-5.669e+11,-5.775e+11,1.5076e+10,9167.9,-8532.4,-169.77,8.2051e+10,-1.5024e+12,2.2857e+10,9113.1,496.37,-371.64,2.6251e+12,1.4027e+12,-2.8798e+10,-3259.4,5688.8,63.257,4.303e+12,-1.2422e+12,-7.3586e+10,1471.3,5253.6,-142.7,1.6555e+12,-4.735e+12,2.7796e+10,5245.4,638.51,-1607.1
3.1558e+07,-2.2839e+08,1.1331e+09,-5.6013e+06,-14.368,1.7332,0.37342,2.2209e+10,-5.7203e+10,-6.8308e+09,37719,19412,-1875.1,4.0731e+10,-9.9805e+10,-3.7543e+09,32166,13052,-1677.6,-1.4433e+11,-3.933e+10,-3.7062e+06,7542.9,-28787,2.2808,-6.7276e+09,2.3664e+11,5.0885e+09,-23293,1385.2,600.54,-2.1968e+11,-7.6408e+11,8.0796e+09,12396,-2991.5,-264.98,3.6617e+11,-1.4578e+12,1.0762e+10,8834.7,2323,-392.37,2.5157e+12,1.5786e+12,-2.6731e+10,-3669.3,5451.1,67.684,4.3463e+12,-1.0756e+12,-7.8034e+10,1269.6,5307.7,-139.16,1.8202e+12,-4.7124e+12,-2.2925e+10,5188.3,793.74,-1607.2
6.3115e+07,-6.8608e+08,1.0785e+09,6.7126e+06,-14.196,-5.0185,0.40003,-2.4291e+10,-4.9604e+10,-1.9694e+09,39738,-22237,-5462.8,-9.9458e+10,4.3303e+10,6.2859e+09,-13948,-32346,360.71,-1.4493e+11,-3.8841e+10,8.5568e+06,7434.6,-28824,2.3249,-2.8191e+10,-2.1722e+11,-3.8925e+09,24939,-955.97,-631.72,1.8281e+11,-7.5406e+11,-9.6818e+08,12534,3692.4,-295.77,6.36e+11,-1.3566e+12,-1.7483e+09,8209.3,4072.2,-397.94,2.3936e+12,1.7465e+12,-2.453e+10,-4063.4,5184.2,71.799,4.3831e+12,-9.0732e+11,-8.2367e+10,1065.8,5354,-135.42,1.983e+12,-4.685e+12,-7.3624e+10,5127.1,944.9,-1605.6
9.4673e+07,-1.0872e+09,8.1123e+08,1.8755e+07,-10.595,-11.474,0.34372,-3.5332e+08,4.1927e+10,3.3113e+09,-58279,-2191.4,5167.3,1.0054e+11,3.8418e+10,-5.3293e+09,-12293,32666,1157.6,-1.4547e+11,-3.8556e+10,2.0671e+07,7329.4,-28860,2.3096,-9.1185e+10,2.2571e+11,6.9418e+09,-21562,-6965.9,383.26,5.335e+11,-5.3678e+11,-9.7158e+09,9105,9816.2,-244.41,8.8081e+11,-1.2022e+12,-1.4189e+10,7252.4,5684.5,-387.88,2.2594e+12,1.9055e+12,-2.2203e+10,-4439.7,4889,75.577,4.4135e+12,-7.3773e+11,-8.6579e+10,860.26,5392.4,-131.47,2.1437e+12,-4.6528e+12,-1.2425e+11,5062.2,1091.9,-1602.5
1.2623e+08,-1.3251e+09,3.8084e+08,2.7823e+07,-4.2102,-15.135,0.22077,1.7929e+10,3.4311e+10,1.0343e+09,-51486,26132,6859.3,-4.4967e+10,-9.9089e+10,1.1806e+09,31790,-14224,-2029.4,-1.4584e+11,-3.8436e+10,3.0172e+07,7228.3,-28895,2.2453,6.2923e+10,-2.0245e+11,-5.7991e+09,24005,9373.6,-391.96,7.2557e+11,-1.6192e+11,-1.5567e+10,2692.9,13351,-115.57,1.0905e+12,-9.9992e+11,-2.6064e+10,5987.8,7097.9,-362.05,2.1136e+12,2.0548e+12,-1.9763e+10,-4796,4566.3,78.997,4.4374e+12,-5.6706e+11,-9.0663e+10,653.27,5422.9,-127.33,2.3024e+12,-4.6161e+12,-1.7475e+11,4993.7,1234.8,-1597.9
1.5779e+08,-1.3346e+09,-1.0913e+08,3.1957e+07,3.5378,-14.929,0.039998,-1.9358e+10,-2.784e+10,-5.8087e+08,52999,-34671,-7693.2,-3.7843e+10,1.0098e+11,3.5265e+09,-33053,-12092,1741.7,-1.4598e+11,-3.8371e+10,3.4353e+07,7126.7,-28924,2.1301,-1.6383e+11,1.8581e+11,7.9145e+09,-17303,-13895,133.65,6.921e+11,2.6248e+11,-1.6576e+10,-4773.9,12818,53.734,1.2558e+12,-7.5697e+11,-3.6877e+10,4447.2,8251.5,-320.7,1.957e+12,2.1934e+12,-1.7221e+10,-5130.4,4217.2,82.034,4.4547e+12,-3.9555e+11,-9.4613e+10,445.14,5445.4,-122.99,2.4589e+12,-4.5749e+12,-2.2509e+11,4921.9,1373.3,-1591.9
1.8935e+08,-1.1209e+09,-5.2804e+08,3.0699e+07,9.6076,-10.962,-0.11676,-1.9372e+10,2.0783e+10,3.4463e+09,-51764,-44907,1080.2,9.6895e+10,-4.7662e+10,-6.2722e+09,14961,31392,-431.55,-1.4591e+11,-3.8245e+10,3.3242e+07,7024.2,-28947,2.0785,1.4289e+11,-1.5058e+11,-6.6463e+09,18409,18823,-56.718,4.4083e+11,6.046e+11,-1.237e+10,-10693,8307.4,204.91,1.3687e+12,-4.8247e+11,-4.6149e+10,2674.4,9087.7,-264.6,1.7901e+12,2.3207e+12,-1.459e+10,-5440.9,3843,84.669,4.4655e+12,-2.2345e+11,-9.8423e+10,236.21,5459.9,-118.47,2.613e+12,-4.5295e+12,-2.7521e+11,4847.1,1507.7,-1584.5
2.209e+08,-7.5916e+08,-7.7739e+08,2.5178e+07,12.552,-4.4603,-0.21434,1.0833e+10,-1.9869e+10,-2.5983e+09,65413,39977,-2732.1,-1.0211e+11,-3.7799e+10,5.3644e+09,11768,-33034,-1132.3,-1.4568e+11,-3.794e+10,2.7753e+07,6917.6,-28968,2.0696,-2.1637e+11,1.2401e+11,7.9277e+09,-11196,-18901,-121.35,5.3962e+10,7.6284e+11,-4.3667e+09,-13173,1537.4,288.47,1.4228e+12,-1.873e+11,-5.3436e+10,727.62,9553.2,-195.14,1.6138e+12,2.4357e+12,-1.1882e+10,-5725.7,3445.2,86.881,4.4696e+12,-5.1027e+10,-1.0209e+11,26.774,5466.4,-113.77,2.7648e+12,-4.4798e+12,-3.2508e+11,4769.4,1637.8,-1575.8
2.5246e+08,-3.634e+08,-8.1961e+08,1.7788e+07,12.011,1.8623,-0.2457,2.6984e+08,1.4715e+10,1.2292e+09,-91918,1823.4,8581.3,4.8457e+10,9.5427e+10,-1.4768e+09,-31335,15684,2023.9,-1.4542e+11,-3.7432e+10,2.0321e+07,6808,-28990,2.0801,1.9492e+11,-6.8653e+10,-6.1923e+09,8897.2,24942,304.53,-3.5002e+11,7.0203e+11,4.9278e+09,-11838,-5215,286.61,1.4136e+12,1.161e+11,-5.8347e+10,-1319.1,9602.7,-114.46,1.429e+12,2.5379e+12,-9.111e+09,-5982.6,3025.3,88.653,4.4672e+12,1.2147e+11,-1.056e+11,-182.85,5464.7,-108.9,2.914e+12,-4.4261e+12,-3.7465e+11,4689.2,1763.6,-1565.9
2.8402e+08,-3.5746e+07,-6.7919e+08,1.0825e+07,8.3549,6.7691,-0.18833,-4.5702e+09,4.216e+09,8.2679e+08,-1.0216e+05,-97369,1413.7,3.4668e+10,-1.0393e+11,-3.4106e+09,32934,11048,-1748.2,-1.4521e+11,-3.6758e+10,1.3417e+07,6697.4,-29012,2.2209,-2.4379e+11,4.8455e+10,7.0168e+09,-3861.6,-21667,-359.58,-6.6177e+11,4.5291e+11,1.2939e+10,-7528.9,-10171,210.71,1.3394e+12,4.1406e+11,-6.0573e+10,-3376.3,9204.5,-25.568,1.2365e+12,2.6264e+12,-6.2915e+09,-6209.7,2585.1,89.963,4.4581e+12,2.9379e+11,-1.0896e+11,-392.34,5455,-103.86,3.0607e+12,-4.3686e+12,-4.239e+11,4606.6,1885.2,-1554.9
